고객ID,상품ID,구매일,구매금액,구매수량,결제방식,리뷰작성,배송만족도,반품여부
C0035,P010,2023-10-27,44901.0,4,포인트,0,,0
C0215,P045,2022-01-12,278349.0,3,포인트,1,2.0,0
C0090,P017,2022-05-13,273050.0,2,포인트,0,3.0,0
C0264,P026,2022-10-31,67987.0,4,카드,1,4.0,0
C0093,P021,2022-10-20,59400.0,1,포인트,0,3.0,0
C0090,P028,2022-10-27,161222.0,1,현금,0,3.0,0
C0115,P046,2022-02-12,,2,간편결제,0,3.0,0
C0105,P002,2022-12-09,124052.0,3,포인트,1,3.0,1
C0196,P043,2022-11-22,61481.0,2,카드,0,3.0,0
C0114,P001,2023-05-13,268427.0,4,현금,1,2.0,1
C0075,P036,2022-12-30,38691.0,2,간편결제,0,3.0,0
C0217,P026,2023-03-03,203137.0,1,간편결제,1,3.0,0
C0277,P029,2022-01-21,,4,포인트,0,3.0,0
C0249,P021,2023-02-11,13438.0,1,간편결제,1,2.0,0
C0164,P011,2023-09-11,287239.0,3,포인트,0,4.0,0
C0192,P040,2022-12-02,152226.0,1,포인트,1,1.0,1
C0227,P011,2022-04-27,276896.0,1,현금,0,3.0,0
C0177,P036,2022-05-04,60426.0,2,현금,0,4.0,0
C0099,P049,2023-02-03,244968.0,1,카드,0,3.0,0
C0036,P039,2023-12-16,293963.0,4,현금,1,2.0,0
C0096,P040,2022-02-20,160289.0,4,현금,0,4.0,0
C0152,P035,2022-11-20,266501.0,3,포인트,1,3.0,0
C0151,P034,2022-05-21,224780.0,4,현금,0,4.0,0
C0190,P047,2023-04-15,151108.0,2,포인트,0,4.0,0
C0224,P024,2022-11-30,213347.0,3,포인트,0,4.0,0
C0037,P022,2023-01-08,102756.0,4,현금,1,3.0,0
C0268,P005,2023-07-18,,2,카드,1,2.0,0
C0183,P033,2023-05-09,136717.0,4,카드,1,2.0,0
C0013,P036,2023-06-23,167002.0,4,간편결제,0,3.0,0
C0279,P047,2023-10-31,266691.0,1,간편결제,1,3.0,0
C0217,P020,2022-06-05,86835.0,4,현금,1,3.0,0
C0286,P019,2022-10-18,127232.0,4,카드,0,2.0,0
C0273,P035,2023-10-10,223561.0,2,포인트,1,1.0,0
C0062,P043,2022-05-24,248051.0,2,간편결제,1,3.0,0
C0084,P017,2022-04-16,162547.0,1,포인트,1,2.0,0
C0217,P045,2023-02-24,48732.0,4,간편결제,1,4.0,0
C0187,P043,2023-11-01,217695.0,1,현금,0,1.0,0
C0019,P034,2023-10-20,182109.0,4,카드,0,3.0,0
C0177,P009,2022-01-02,14346.0,3,간편결제,1,5.0,0
C0100,P026,2023-08-12,267731.0,3,카드,0,2.0,0
C0233,P002,2023-10-06,17763.0,1,포인트,1,3.0,0
C0076,P009,2022-03-31,195237.0,1,현금,1,1.0,1
C0265,P009,2022-12-11,243553.0,1,카드,1,4.0,1
C0284,P040,2022-12-16,125987.0,2,현금,1,3.0,0
C0206,P017,2023-04-04,221823.0,2,카드,0,3.0,0
C0223,P001,2022-09-20,96353.0,2,포인트,0,3.0,0
C0052,P025,2022-12-17,226373.0,1,포인트,0,5.0,1
C0144,P043,2022-04-18,30556.0,4,현금,0,2.0,0
C0069,P040,2023-08-09,23099.0,3,포인트,0,1.0,0
C0099,P042,2022-02-08,181168.0,1,간편결제,0,5.0,0
C0025,P025,2022-06-08,208058.0,2,카드,1,3.0,0
C0053,P039,2023-08-06,149302.0,2,포인트,1,5.0,0
C0151,P035,2022-11-08,207041.0,1,간편결제,0,3.0,1
C0144,P003,2022-08-29,38866.0,1,현금,0,4.0,0
C0057,P050,2023-03-21,110400.0,2,간편결제,1,3.0,0
C0039,P037,2022-10-25,142488.0,4,현금,0,4.0,0
C0109,P044,2022-02-05,77516.0,2,현금,0,5.0,0
C0181,P044,2022-03-25,,2,카드,0,3.0,0
C0042,P030,2023-03-28,299746.0,1,카드,0,2.0,0
C0186,P038,2023-01-20,194139.0,4,간편결제,0,2.0,0
C0223,P034,2022-06-21,163588.0,2,카드,1,2.0,0
C0122,P012,2023-01-11,134295.0,2,카드,0,2.0,0
C0133,P019,2023-11-16,92969.0,3,카드,0,3.0,0
C0163,P037,2022-12-28,137161.0,1,간편결제,0,3.0,1
C0215,P044,2023-07-13,210735.0,3,포인트,0,3.0,1
C0221,P049,2022-05-21,146559.0,3,카드,1,3.0,0
C0235,P017,2022-04-28,267299.0,2,카드,1,4.0,0
C0146,P010,2022-10-04,128950.0,1,간편결제,1,1.0,1
C0239,P049,2023-12-27,81229.0,4,포인트,0,1.0,0
C0076,P047,2022-08-08,109648.0,2,카드,1,2.0,0
C0009,P012,2022-01-26,43547.0,4,현금,1,3.0,1
C0074,P016,2023-06-05,33795.0,4,간편결제,1,2.0,0
C0253,P024,2022-01-10,191368.0,1,카드,0,2.0,0
C0230,P019,2023-01-13,26447.0,3,카드,0,3.0,1
C0007,P008,2023-09-25,172670.0,1,현금,0,4.0,0
C0174,P031,2023-09-29,226823.0,4,현금,1,1.0,0
C0141,P021,2023-11-13,261190.0,2,간편결제,0,4.0,0
C0168,P017,2023-08-07,,4,간편결제,0,4.0,0
C0170,P023,2022-06-01,,2,현금,1,4.0,0
C0283,P037,2023-12-21,234817.0,2,간편결제,1,5.0,0
C0122,P016,2022-02-18,60077.0,1,현금,1,1.0,1
C0194,P006,2022-06-03,117782.0,4,카드,0,2.0,0
C0005,P008,2022-10-20,107932.0,3,현금,1,5.0,0
C0029,P025,2023-08-03,191339.0,4,현금,0,3.0,0
C0165,P018,2022-02-19,103696.0,4,포인트,0,3.0,0
C0136,P025,2023-10-26,55939.0,3,현금,0,4.0,0
C0145,P012,2023-06-15,296660.0,1,현금,0,4.0,1
C0217,P015,2023-09-04,192598.0,4,포인트,0,5.0,0
C0132,P026,2022-03-01,146521.0,4,간편결제,1,,0
C0292,P041,2022-06-16,55290.0,2,포인트,0,4.0,0
C0070,P045,2022-07-21,289890.0,4,카드,1,2.0,0
C0252,P026,2022-05-26,72990.0,3,포인트,0,5.0,0
C0275,P047,2023-11-07,63810.0,2,카드,0,1.0,0
C0182,P032,2023-03-15,123362.0,1,간편결제,0,2.0,0
C0167,P010,2022-08-30,151295.0,2,포인트,0,5.0,1
C0091,P016,2023-08-04,138669.0,3,포인트,0,2.0,0
C0202,P007,2023-11-18,201749.0,3,간편결제,0,2.0,0
C0019,P017,2023-07-15,269803.0,2,카드,0,2.0,0
C0039,P023,2023-04-28,91516.0,1,포인트,0,5.0,0
C0126,P026,2022-04-18,79567.0,2,카드,0,3.0,0
C0173,P021,2022-08-14,,1,포인트,1,4.0,0
C0141,P022,2023-11-04,131498.0,2,현금,0,2.0,0
C0242,P007,2023-09-23,182810.0,3,포인트,1,4.0,0
C0220,P014,2023-10-23,17109.0,4,간편결제,1,4.0,0
C0126,P015,2023-10-24,289154.0,4,간편결제,1,3.0,0
C0058,P007,2023-03-08,275931.0,1,카드,1,3.0,0
C0148,P009,2023-10-17,244472.0,1,포인트,0,2.0,0
C0001,P048,2023-02-23,144544.0,1,카드,1,,0
C0190,P008,2023-03-31,251183.0,3,카드,1,4.0,0
C0191,P050,2022-06-09,159455.0,2,현금,0,5.0,0
C0117,P023,2023-06-07,249325.0,3,현금,0,3.0,0
C0134,P029,2023-10-12,39518.0,4,간편결제,0,4.0,0
C0058,P018,2023-08-13,58909.0,1,카드,1,4.0,0
C0044,P031,2022-03-18,285495.0,2,간편결제,1,4.0,0
C0173,P030,2023-05-24,205696.0,4,포인트,0,,0
C0160,P039,2023-03-17,20282.0,4,카드,0,3.0,0
C0173,P035,2022-09-11,244017.0,4,카드,0,2.0,1
C0149,P018,2022-11-16,272219.0,3,포인트,0,4.0,0
C0080,P042,2022-09-20,184526.0,1,포인트,1,4.0,0
C0213,P039,2023-08-20,33365.0,4,간편결제,0,3.0,0
C0203,P017,2023-10-20,278146.0,1,간편결제,0,2.0,0
C0252,P014,2023-07-08,281091.0,3,포인트,0,3.0,0
C0229,P031,2023-01-09,215294.0,4,간편결제,1,3.0,0
C0164,P024,2023-09-29,121219.0,3,포인트,0,3.0,0
C0227,P035,2022-06-16,61307.0,3,카드,1,4.0,0
C0147,P044,2023-04-04,140565.0,1,카드,0,4.0,0
C0020,P045,2022-10-07,260095.0,4,현금,0,2.0,0
C0047,P034,2023-12-01,39228.0,3,카드,0,3.0,0
C0233,P003,2022-10-29,215748.0,4,포인트,0,2.0,0
C0014,P037,2023-06-15,48472.0,1,간편결제,0,2.0,0
C0143,P043,2023-08-03,142888.0,3,현금,1,4.0,1
C0001,P040,2022-08-06,82175.0,1,간편결제,1,5.0,1
C0054,P026,2022-04-12,69307.0,4,포인트,1,3.0,0
C0259,P023,2023-07-08,100028.0,4,카드,0,4.0,0
C0144,P044,2022-10-15,147312.0,1,현금,1,5.0,0
C0012,P039,2022-06-16,97493.0,2,포인트,0,4.0,1
C0224,P015,2023-09-13,130149.0,3,현금,0,2.0,0
C0272,P049,2022-02-05,234416.0,4,현금,0,,0
C0156,P004,2022-12-19,207435.0,4,카드,0,3.0,0
C0008,P029,2023-11-07,168834.0,3,포인트,1,3.0,0
C0122,P022,2022-03-14,275403.0,1,간편결제,0,1.0,0
C0164,P025,2023-10-10,186211.0,1,현금,0,3.0,0
C0090,P013,2022-12-19,281993.0,1,현금,1,2.0,0
C0136,P018,2022-03-11,,2,간편결제,0,2.0,0
C0186,P033,2023-03-01,122886.0,2,포인트,0,3.0,0
C0178,P016,2023-12-09,290711.0,4,현금,0,4.0,0
C0028,P045,2023-07-15,40292.0,1,현금,1,5.0,0
C0220,P042,2023-10-04,79813.0,3,현금,1,3.0,0
C0041,P044,2023-06-01,102136.0,4,포인트,0,5.0,0
C0228,P002,2023-03-04,56631.0,3,포인트,0,5.0,0
C0192,P035,2023-06-23,14885.0,4,간편결제,0,4.0,0
C0145,P042,2022-06-09,190378.0,2,포인트,1,2.0,1
C0201,P034,2022-05-29,54812.0,4,포인트,0,4.0,0
C0212,P030,2022-08-18,186572.0,2,카드,0,5.0,0
C0220,P013,2023-12-13,49900.0,4,간편결제,0,4.0,0
C0240,P013,2023-07-16,283432.0,1,현금,0,3.0,1
C0046,P018,2022-03-08,77692.0,3,포인트,0,3.0,0
C0035,P032,2023-01-16,232208.0,1,현금,1,4.0,0
C0253,P032,2022-02-27,51403.0,4,현금,0,3.0,0
C0082,P035,2022-09-16,96170.0,4,카드,0,2.0,0
C0256,P039,2022-12-08,,4,포인트,1,3.0,0
C0197,P046,2022-05-10,64871.0,2,간편결제,1,4.0,0
C0010,P029,2023-12-28,37174.0,3,포인트,0,5.0,0
C0286,P049,2022-06-21,,3,현금,0,2.0,0
C0242,P029,2023-09-06,228563.0,4,간편결제,0,,0
C0251,P044,2022-07-28,142653.0,4,포인트,1,3.0,0
C0005,P016,2022-12-20,115155.0,2,현금,0,4.0,0
C0119,P044,2023-04-16,293793.0,1,현금,1,4.0,0
C0289,P047,2022-04-26,132795.0,1,카드,1,4.0,0
C0065,P010,2022-09-21,93668.0,3,카드,0,5.0,0
C0146,P030,2023-10-24,218397.0,2,카드,0,3.0,0
C0224,P025,2023-03-18,,4,현금,0,5.0,0
C0239,P039,2023-07-02,244141.0,3,포인트,0,2.0,1
C0177,P020,2023-03-29,101019.0,2,카드,0,4.0,0
C0267,P005,2023-04-22,33803.0,1,포인트,1,4.0,0
C0282,P001,2022-10-14,154302.0,2,카드,1,4.0,0
C0063,P030,2022-10-30,,1,간편결제,0,2.0,0
C0217,P049,2022-11-07,235147.0,2,간편결제,1,5.0,0
C0283,P003,2022-07-27,35795.0,3,카드,0,2.0,0
C0177,P045,2023-09-10,275914.0,1,현금,0,1.0,0
C0098,P014,2023-03-22,16093.0,3,카드,0,4.0,0
C0105,P030,2023-11-01,284713.0,3,카드,1,3.0,0
C0099,P050,2023-09-25,278334.0,1,현금,1,4.0,0
C0006,P004,2022-02-24,178824.0,1,간편결제,1,3.0,0
C0197,P018,2022-01-12,168399.0,4,포인트,0,2.0,0
C0133,P037,2023-10-19,45197.0,4,카드,0,4.0,0
C0259,P025,2023-02-04,7261.0,4,현금,0,3.0,0
C0023,P048,2023-10-10,162584.0,3,카드,0,2.0,1
C0053,P001,2023-05-30,296077.0,3,현금,1,4.0,1
C0165,P046,2023-10-18,140450.0,4,포인트,1,3.0,0
C0202,P015,2023-06-26,45583.0,3,포인트,1,4.0,0
C0083,P009,2022-08-25,165105.0,3,간편결제,0,3.0,0
C0145,P015,2022-10-06,116032.0,1,현금,0,4.0,0
C0085,P049,2022-12-14,211940.0,1,현금,0,4.0,0
C0078,P024,2023-09-19,231727.0,3,간편결제,0,4.0,0
C0001,P004,2022-04-14,78869.0,4,간편결제,0,2.0,0
C0051,P012,2023-09-22,272554.0,2,현금,1,4.0,0
C0173,P037,2023-06-01,192116.0,4,간편결제,1,4.0,0
C0205,P037,2022-09-05,199387.0,2,포인트,0,4.0,0
C0260,P043,2022-12-30,207416.0,4,카드,0,3.0,0
C0288,P006,2022-11-17,91716.0,1,포인트,0,5.0,0
C0034,P039,2023-09-25,59245.0,3,간편결제,0,4.0,0
C0095,P046,2022-10-13,48056.0,3,현금,1,2.0,0
C0072,P024,2022-05-29,255736.0,1,현금,0,3.0,0
C0039,P011,2022-03-25,284687.0,2,포인트,0,5.0,0
C0154,P013,2023-02-10,230683.0,2,현금,0,1.0,0
C0250,P034,2023-04-01,270972.0,2,간편결제,1,,0
C0162,P025,2022-06-10,121656.0,1,포인트,0,4.0,0
C0118,P007,2023-04-05,22087.0,2,현금,0,4.0,0
C0259,P004,2023-07-04,298481.0,1,카드,0,2.0,0
C0268,P008,2023-05-15,141554.0,4,카드,1,2.0,0
C0054,P020,2023-05-24,187024.0,4,간편결제,1,5.0,0
C0236,P029,2023-10-16,141535.0,1,현금,0,2.0,0
C0222,P045,2023-04-26,248236.0,3,간편결제,1,4.0,0
C0251,P046,2023-10-25,75448.0,4,포인트,1,3.0,1
C0112,P010,2022-04-24,9648.0,2,카드,1,2.0,0
C0255,P043,2023-08-01,40634.0,1,포인트,1,1.0,0
C0207,P034,2022-12-27,27054.0,2,현금,1,3.0,0
C0229,P026,2022-12-07,75028.0,2,간편결제,0,,1
C0066,P041,2023-03-25,27207.0,3,간편결제,1,3.0,0
C0075,P049,2022-06-29,235893.0,2,간편결제,0,3.0,0
C0103,P003,2023-12-03,86554.0,3,포인트,1,3.0,0
C0192,P006,2023-02-11,157458.0,4,카드,0,3.0,0
C0252,P005,2023-10-28,88276.0,1,포인트,1,3.0,0
C0226,P005,2022-07-15,188852.0,2,포인트,1,5.0,0
C0294,P047,2023-04-11,197512.0,1,현금,0,3.0,0
C0098,P023,2022-11-07,13210.0,2,현금,1,3.0,0
C0286,P049,2022-09-19,49363.0,1,현금,0,2.0,0
C0249,P009,2023-02-23,247247.0,2,카드,1,,0
C0166,P035,2023-02-10,83279.0,2,카드,0,2.0,0
C0030,P020,2022-05-23,196420.0,2,현금,0,1.0,0
C0247,P049,2022-12-08,191356.0,2,현금,1,4.0,0
C0106,P042,2022-11-12,208196.0,2,카드,0,3.0,0
C0051,P035,2022-04-11,204919.0,2,간편결제,1,3.0,0
C0081,P050,2022-09-01,262324.0,2,카드,0,3.0,0
C0133,P018,2023-05-05,200161.0,2,카드,0,4.0,0
C0285,P017,2022-01-12,235363.0,2,카드,0,2.0,0
C0138,P024,2022-08-27,139393.0,1,현금,0,4.0,0
C0184,P003,2023-07-15,214754.0,3,간편결제,0,4.0,0
C0273,P032,2022-02-11,128053.0,2,카드,0,3.0,0
C0069,P035,2023-11-09,188965.0,3,현금,0,3.0,1
C0034,P038,2023-08-17,171892.0,2,포인트,0,2.0,0
C0262,P013,2023-03-05,139832.0,2,포인트,1,4.0,0
C0053,P047,2022-06-07,158262.0,1,카드,1,3.0,0
C0205,P025,2022-08-04,72411.0,4,포인트,0,3.0,0
C0126,P009,2023-11-01,290521.0,4,간편결제,1,3.0,0
C0235,P004,2023-04-07,43211.0,1,포인트,0,,0
C0043,P014,2022-05-14,,3,포인트,1,3.0,0
C0240,P037,2022-03-08,270888.0,4,간편결제,1,5.0,0
C0111,P034,2022-01-07,261638.0,1,카드,1,3.0,0
C0249,P011,2023-06-10,292139.0,1,카드,0,1.0,0
C0151,P041,2022-03-14,153049.0,4,간편결제,1,2.0,0
C0183,P003,2023-02-03,234010.0,3,간편결제,0,3.0,0
C0095,P028,2023-02-09,39542.0,1,간편결제,1,2.0,0
C0008,P029,2023-11-06,15651.0,2,포인트,0,1.0,0
C0184,P009,2023-08-01,104239.0,3,간편결제,1,5.0,0
C0281,P003,2022-05-10,231416.0,3,현금,1,4.0,0
C0195,P025,2023-04-11,283859.0,4,포인트,1,4.0,0
C0195,P034,2022-07-25,160378.0,4,카드,0,2.0,0
C0155,P012,2022-09-23,155158.0,2,카드,1,2.0,0
C0093,P042,2023-06-21,146130.0,1,카드,0,1.0,0
C0160,P009,2022-09-10,260948.0,4,포인트,1,4.0,0
C0061,P015,2022-10-16,69200.0,4,현금,0,5.0,0
C0122,P040,2022-06-13,110848.0,3,간편결제,0,3.0,0
C0051,P025,2022-04-05,111022.0,4,간편결제,0,2.0,0
C0277,P005,2022-04-20,182691.0,4,카드,0,3.0,0
C0005,P011,2022-12-02,261453.0,4,카드,0,3.0,0
C0092,P034,2022-08-26,,4,포인트,0,3.0,0
C0170,P024,2023-01-16,166445.0,3,현금,0,4.0,0
C0022,P015,2023-03-12,169226.0,2,간편결제,1,4.0,0
C0001,P038,2023-04-28,142103.0,2,포인트,1,2.0,0
C0133,P008,2022-01-25,229605.0,1,간편결제,0,1.0,0
C0233,P005,2023-10-15,208047.0,4,카드,0,,0
C0012,P048,2022-04-27,289929.0,3,간편결제,0,2.0,0
C0046,P026,2023-04-27,254768.0,1,현금,0,1.0,0
C0034,P018,2023-01-27,164741.0,1,현금,1,2.0,0
C0078,P006,2023-06-21,99475.0,2,카드,1,1.0,0
C0218,P037,2022-03-20,7282.0,3,현금,0,3.0,0
C0073,P048,2023-08-03,170696.0,3,현금,0,4.0,0
C0282,P013,2022-06-22,184510.0,3,포인트,0,3.0,0
C0249,P028,2022-01-12,225972.0,2,간편결제,1,3.0,0
C0047,P005,2022-05-08,167777.0,2,카드,1,4.0,1
C0121,P013,2023-08-31,,2,카드,0,3.0,0
C0214,P017,2022-04-02,,2,카드,0,5.0,0
C0239,P050,2023-10-15,124006.0,2,카드,1,5.0,0
C0056,P040,2023-06-27,241440.0,4,카드,1,1.0,0
C0107,P045,2023-06-16,209054.0,4,현금,0,4.0,0
C0048,P032,2023-10-20,,3,포인트,0,3.0,0
C0061,P029,2023-03-23,105123.0,1,카드,0,,0
C0026,P003,2023-01-25,277660.0,3,포인트,0,3.0,0
C0292,P040,2023-11-03,153586.0,1,포인트,0,,1
C0257,P034,2022-02-12,236496.0,2,현금,0,4.0,0
C0008,P040,2022-09-11,172860.0,1,카드,0,2.0,0
C0113,P027,2022-05-10,211821.0,3,현금,0,3.0,1
C0253,P013,2022-03-01,197121.0,3,카드,1,,0
C0180,P045,2023-10-25,41027.0,1,현금,0,5.0,0
C0207,P033,2023-04-12,178921.0,4,포인트,0,1.0,0
C0127,P006,2022-10-14,153930.0,2,카드,0,4.0,0
C0056,P024,2023-06-01,220234.0,2,간편결제,0,3.0,1
C0214,P019,2023-04-12,84003.0,3,포인트,1,1.0,1
C0014,P016,2022-12-11,188467.0,4,간편결제,0,3.0,0
C0028,P040,2023-10-04,44758.0,1,포인트,0,2.0,0
C0078,P028,2023-01-17,,2,현금,1,4.0,0
C0216,P033,2023-11-21,20434.0,4,카드,0,3.0,0
C0154,P048,2022-09-10,200119.0,2,포인트,1,4.0,0
C0014,P041,2022-02-25,250754.0,4,현금,0,1.0,0
C0187,P013,2023-04-08,88555.0,4,카드,0,3.0,1
C0007,P043,2023-04-02,133379.0,3,카드,0,2.0,1
C0003,P045,2022-03-24,221992.0,2,포인트,0,2.0,0
C0111,P025,2022-04-09,244511.0,1,카드,1,1.0,0
C0238,P042,2022-05-29,181806.0,3,포인트,1,2.0,0
C0239,P036,2022-11-25,73803.0,3,카드,0,3.0,0
C0274,P027,2022-06-05,288456.0,1,간편결제,0,2.0,0
C0294,P038,2022-07-09,229448.0,3,현금,1,3.0,0
C0227,P007,2023-05-09,180251.0,4,간편결제,1,3.0,0
C0015,P005,2022-09-20,207514.0,4,포인트,0,5.0,0
C0192,P043,2022-03-21,250404.0,2,간편결제,0,5.0,0
C0119,P045,2023-02-04,122961.0,2,포인트,0,3.0,1
C0028,P031,2023-09-01,22297.0,1,카드,1,3.0,0
C0202,P023,2022-09-17,269155.0,2,카드,0,2.0,0
C0039,P042,2023-09-07,125234.0,4,포인트,0,,0
C0273,P010,2023-07-06,49014.0,1,간편결제,1,1.0,0
C0231,P032,2022-04-11,248166.0,1,카드,0,2.0,1
C0086,P043,2022-12-25,183570.0,2,현금,0,2.0,0
C0126,P030,2023-01-15,,4,카드,0,3.0,0
C0300,P039,2022-08-09,278264.0,1,현금,0,2.0,0
C0025,P031,2023-02-24,289996.0,4,간편결제,0,4.0,0
C0145,P018,2022-05-04,213559.0,4,현금,0,2.0,0
C0013,P036,2023-02-26,96575.0,4,현금,0,4.0,0
C0212,P002,2022-08-19,100040.0,2,현금,0,2.0,0
C0025,P014,2023-11-21,,3,현금,1,1.0,0
C0068,P013,2022-03-04,184587.0,3,카드,1,5.0,0
C0067,P029,2023-04-30,10744.0,1,현금,0,2.0,0
C0233,P012,2023-09-20,219892.0,4,카드,0,4.0,0
C0109,P039,2023-12-04,155871.0,2,현금,0,3.0,0
C0146,P002,2023-07-28,229834.0,4,포인트,0,1.0,0
C0111,P032,2023-04-28,125906.0,4,간편결제,0,,0
C0228,P013,2023-06-03,206260.0,2,현금,1,2.0,0
C0111,P046,2022-06-04,225931.0,3,포인트,0,5.0,0
C0034,P027,2022-04-02,258593.0,4,현금,0,2.0,0
C0111,P049,2023-06-10,243746.0,4,현금,0,5.0,0
C0264,P041,2023-03-31,12597.0,3,현금,1,1.0,0
C0236,P017,2023-08-21,208199.0,2,포인트,0,3.0,0
C0083,P040,2023-10-07,213434.0,1,간편결제,1,4.0,0
C0042,P031,2023-05-25,162489.0,3,포인트,0,5.0,0
C0101,P034,2022-07-02,120598.0,1,간편결제,1,5.0,0
C0006,P024,2023-01-21,255100.0,1,현금,1,4.0,0
C0180,P045,2023-07-28,263589.0,3,카드,0,5.0,0
C0282,P035,2023-02-09,189233.0,4,현금,0,2.0,0
C0226,P048,2022-09-03,257388.0,1,간편결제,0,2.0,0
C0229,P006,2023-08-14,138241.0,1,포인트,0,2.0,1
C0289,P019,2023-10-23,220164.0,2,현금,1,3.0,0
C0150,P030,2023-10-12,158124.0,4,포인트,1,3.0,0
C0277,P007,2023-04-16,209923.0,1,포인트,1,3.0,0
C0198,P010,2023-02-27,13036.0,2,포인트,1,2.0,0
C0070,P041,2022-03-06,36778.0,4,현금,0,4.0,0
C0112,P032,2022-01-13,159245.0,3,포인트,0,2.0,0
C0004,P034,2022-08-01,166475.0,3,포인트,1,3.0,0
C0095,P028,2022-08-30,207747.0,2,현금,0,3.0,0
C0152,P015,2023-05-08,23800.0,3,포인트,1,4.0,0
C0137,P030,2022-08-01,292516.0,1,현금,0,4.0,0
C0247,P037,2023-11-24,287682.0,4,간편결제,0,4.0,0
C0243,P029,2022-12-04,236312.0,1,간편결제,1,2.0,0
C0031,P022,2022-06-22,64500.0,1,간편결제,0,3.0,0
C0040,P004,2023-11-03,172647.0,3,포인트,1,1.0,0
C0229,P020,2022-06-13,241527.0,1,카드,1,3.0,0
C0036,P032,2023-04-10,115659.0,3,카드,1,3.0,0
C0223,P036,2023-05-12,32716.0,4,포인트,1,1.0,0
C0006,P050,2023-12-01,7352.0,4,카드,0,2.0,0
C0220,P004,2023-01-30,138004.0,1,현금,1,,0
C0075,P027,2023-12-04,13556.0,2,카드,0,,0
