고객ID,연령,성별,지역,카테고리,구매금액,구매수량,리뷰점수,불만제기,구매일자,연도
2013,46,여성,인천,전자제품,,3,1.8,0,2023-07-04,2023
2678,63,여성,서울,전자제품,336022.0,1,5.0,0,2023-06-10,2023
7603,23,남성,인천,가구,290852.0,3,4.9,0,2022-11-23,2022
6535,52,남성,대구,전자제품,,2,3.6,0,2021-09-10,2021
9403,58,남성,대구,의류,215977.0,8,4.2,0,2023-11-27,2023
8278,54,남성,서울,의류,73870.0,6,3.9,0,2022-02-14,2022
8908,41,여성,광주,전자제품,19283.0,9,3.4,0,2021-05-07,2021
5087,46,남성,부산,전자제품,171645.0,8,1.2,0,2022-08-15,2022
3142,66,여성,대구,가구,350851.0,3,2.8,0,2021-10-21,2021
6206,63,남성,대구,전자제품,,5,3.7,0,2023-10-17,2023
1285,48,여성,광주,가구,15774.0,7,3.7,1,2021-11-06,2021
2987,52,여성,광주,가구,213127.0,5,2.5,0,2022-10-24,2022
4528,50,남성,인천,전자제품,152055.0,8,4.8,0,2022-06-12,2022
3863,69,남성,인천,식품,106468.0,5,1.7,1,2022-06-24,2022
5755,38,남성,부산,식품,368478.0,1,3.0,1,2022-02-23,2022
5714,49,남성,부산,가구,290277.0,5,3.8,0,2022-03-20,2022
3159,40,여성,서울,전자제품,418155.0,4,3.8,0,2022-11-16,2022
1392,50,남성,인천,식품,10781.0,6,3.6,0,2023-04-20,2023
2403,20,남성,대구,전자제품,124586.0,3,2.1,0,2021-08-24,2021
2771,35,여성,인천,전자제품,,5,1.6,0,2021-08-02,2021
4782,42,남성,대구,전자제품,299768.0,2,3.5,0,2021-03-26,2021
6010,59,남성,광주,도서,16823.0,6,3.4,0,2023-03-05,2023
7683,48,남성,인천,전자제품,28489.0,6,1.7,0,2021-03-26,2021
8293,20,남성,광주,도서,181033.0,5,3.8,0,2021-03-06,2021
9957,57,남성,부산,가구,301262.0,6,2.8,0,2022-10-25,2022
3128,63,여성,부산,식품,110417.0,7,3.7,0,2022-09-19,2022
8787,41,남성,서울,식품,91816.0,5,4.3,0,2021-03-05,2021
9086,67,남성,인천,식품,163335.0,1,1.7,0,2023-07-28,2023
4107,49,남성,광주,식품,285709.0,8,1.1,1,2023-07-08,2023
5701,64,남성,대구,식품,161426.0,4,4.1,0,2022-05-06,2022
9440,39,남성,부산,식품,184023.0,9,3.4,0,2021-11-09,2021
5438,40,여성,부산,식품,363323.0,6,3.8,0,2022-09-07,2022
6056,19,남성,대구,가구,33648.0,1,4.4,0,2023-07-08,2023
7314,44,여성,광주,전자제품,453945.0,3,,1,2023-03-24,2023
9486,59,여성,광주,의류,51971.0,3,4.8,0,2023-07-29,2023
3738,19,남성,인천,도서,28658.0,4,,0,2022-11-11,2022
8527,43,남성,인천,의류,31253.0,6,3.0,0,2022-03-11,2022
8632,34,남성,서울,의류,,7,2.6,0,2022-11-13,2022
1535,57,남성,부산,전자제품,189635.0,4,1.6,0,2023-12-10,2023
3037,50,여성,인천,전자제품,167462.0,6,3.3,0,2021-12-06,2021
1750,26,남성,광주,전자제품,360808.0,1,2.1,0,2021-12-13,2021
2441,60,남성,대구,식품,192650.0,8,4.7,0,2022-10-08,2022
9941,65,남성,광주,가구,220097.0,7,3.3,0,2022-10-11,2022
5864,56,남성,부산,식품,113850.0,9,3.4,1,2021-09-02,2021
4440,46,남성,광주,가구,435874.0,3,2.4,0,2021-04-19,2021
3074,59,남성,서울,가구,,2,1.2,0,2022-06-17,2022
8955,43,여성,부산,의류,236058.0,1,1.1,0,2021-10-23,2021
5694,52,여성,대구,의류,143623.0,3,2.7,1,2021-04-22,2021
9026,67,남성,서울,가구,344091.0,5,1.3,0,2021-12-09,2021
2440,42,남성,부산,가구,71001.0,2,3.4,0,2021-04-11,2021
6039,41,남성,대구,식품,190231.0,3,4.5,0,2022-09-21,2022
2895,30,여성,서울,식품,,4,4.5,0,2021-01-28,2021
1900,24,남성,서울,의류,,7,3.6,0,2023-07-26,2023
1962,53,여성,부산,전자제품,43243.0,3,1.8,0,2021-02-27,2021
3782,62,남성,인천,가구,,9,4.5,0,2021-10-24,2021
2808,37,남성,서울,식품,,8,4.5,0,2021-05-14,2021
2625,18,남성,서울,의류,,4,1.8,0,2021-09-06,2021
3712,25,남성,대구,식품,271716.0,1,3.9,0,2023-10-18,2023
6322,63,여성,광주,가구,410455.0,1,2.1,0,2022-07-04,2022
5096,33,여성,부산,가구,278854.0,1,4.2,0,2023-06-21,2023
7020,31,남성,부산,도서,424600.0,1,5.0,0,2023-04-14,2023
3705,29,남성,인천,전자제품,424254.0,8,1.1,0,2023-02-10,2023
4335,68,여성,인천,도서,181918.0,3,4.6,0,2021-05-26,2021
1338,40,여성,부산,의류,229055.0,6,3.5,0,2023-06-12,2023
5473,32,여성,인천,식품,471037.0,3,4.9,0,2021-12-10,2021
3946,45,여성,대구,의류,310135.0,5,,0,2023-11-25,2023
3902,51,남성,부산,가구,,7,4.4,0,2022-12-03,2022
8106,19,여성,인천,도서,410187.0,2,1.2,0,2021-01-01,2021
6468,49,남성,부산,도서,432355.0,6,2.3,0,2021-06-02,2021
2632,40,여성,광주,도서,357589.0,6,1.3,0,2022-03-05,2022
4258,39,여성,서울,의류,,3,4.9,0,2022-05-23,2022
8986,68,여성,부산,가구,,6,4.3,0,2022-05-06,2022
3886,42,여성,서울,식품,487958.0,5,4.4,0,2021-12-11,2021
4631,39,여성,인천,식품,309855.0,2,4.8,0,2021-08-09,2021
5139,39,남성,서울,의류,16530.0,9,1.3,1,2022-12-24,2022
7329,66,남성,부산,도서,283260.0,8,2.5,1,2023-11-15,2023
6659,69,여성,광주,전자제품,75794.0,3,1.3,0,2022-06-12,2022
4001,59,여성,인천,의류,403498.0,8,1.8,0,2023-04-21,2023
8266,23,남성,부산,의류,220545.0,9,1.9,0,2023-12-02,2023
3129,32,여성,인천,가구,142970.0,3,2.9,0,2022-04-26,2022
4520,60,여성,대구,식품,14135.0,3,2.1,0,2023-07-19,2023
4096,54,남성,서울,의류,409845.0,2,1.4,0,2023-05-22,2023
5428,50,여성,대구,의류,381616.0,8,1.7,0,2021-12-11,2021
7884,25,여성,부산,도서,,1,1.6,0,2021-02-14,2021
1402,61,남성,광주,도서,488336.0,8,4.9,0,2021-01-21,2021
8457,61,남성,인천,전자제품,260870.0,7,4.0,0,2023-12-30,2023
2280,22,남성,서울,가구,99087.0,7,4.9,0,2023-05-23,2023
7355,56,여성,인천,전자제품,206103.0,3,2.8,0,2021-02-17,2021
9785,21,남성,부산,도서,305524.0,1,2.1,0,2022-07-05,2022
9753,23,남성,인천,식품,402095.0,4,4.2,0,2021-10-14,2021
6062,62,남성,서울,도서,289215.0,9,2.3,0,2023-09-29,2023
5023,49,남성,부산,가구,30074.0,5,2.2,1,2023-10-31,2023
7191,69,남성,인천,도서,231796.0,1,1.9,0,2022-06-26,2022
9242,47,남성,광주,가구,77843.0,5,1.5,1,2023-01-26,2023
1031,64,여성,부산,가구,49901.0,8,2.0,1,2021-10-01,2021
2094,52,여성,부산,가구,283349.0,8,2.4,0,2023-08-14,2023
2914,57,남성,광주,가구,458877.0,5,3.7,0,2022-08-23,2022
9847,69,남성,대구,가구,396805.0,9,1.3,0,2022-01-16,2022
9031,33,남성,서울,식품,278050.0,1,1.8,1,2022-04-24,2022
7142,30,여성,대구,전자제품,405807.0,4,4.2,0,2021-01-15,2021
8429,67,여성,인천,의류,397720.0,3,1.6,0,2022-05-31,2022
9867,59,여성,광주,전자제품,72987.0,2,2.4,0,2021-07-10,2021
3317,47,여성,대구,가구,466586.0,8,4.5,0,2022-09-13,2022
4506,36,여성,부산,식품,352829.0,7,1.6,0,2021-06-03,2021
3101,34,여성,인천,도서,382598.0,9,1.3,0,2021-09-29,2021
2145,36,여성,인천,식품,377631.0,2,2.9,0,2021-05-23,2021
7782,45,여성,대구,가구,64400.0,4,2.2,1,2023-12-29,2023
8877,43,여성,대구,식품,166222.0,6,3.3,0,2021-09-04,2021
6094,54,남성,광주,식품,41852.0,3,4.2,1,2023-02-27,2023
1953,43,남성,서울,가구,446086.0,8,1.5,0,2021-03-20,2021
2000,40,남성,대구,식품,324900.0,3,3.3,0,2022-09-15,2022
4061,26,남성,대구,의류,387501.0,2,3.0,0,2022-06-09,2022
4425,29,여성,부산,의류,129052.0,3,1.6,0,2023-02-11,2023
6740,18,여성,인천,식품,66481.0,6,3.5,0,2023-07-27,2023
4767,18,남성,서울,도서,273427.0,2,2.1,0,2022-09-09,2022
1600,64,여성,부산,가구,43691.0,8,3.0,0,2023-10-29,2023
2419,51,남성,광주,의류,404341.0,1,1.3,1,2021-03-08,2021
1686,49,여성,광주,도서,208137.0,7,2.8,1,2021-07-10,2021
7826,65,남성,대구,식품,36170.0,2,2.2,0,2023-02-07,2023
5551,42,여성,대구,도서,18438.0,6,4.3,0,2022-06-05,2022
3806,57,여성,광주,전자제품,292239.0,2,1.2,0,2023-09-17,2023
6624,62,남성,대구,의류,157226.0,2,2.7,0,2021-09-24,2021
8798,18,여성,서울,식품,411220.0,8,2.8,1,2022-04-30,2022
