연도,월,고객ID,지역,음식카테고리,나이,배달시간,주문금액,주문수량,평점,불만제기여부
2022,8,CUST0028,부산,일식,57,38.9,20518.0,1,3.148011468087243,0
2021,7,CUST0118,인천,패스트푸드,25,22.8,26763.0,2,3.7713098986307787,0
2022,2,CUST0010,경기,패스트푸드,21,29.2,12115.0,3,3.6844096922830722,0
2023,5,CUST0407,경기,일식,35,20.6,14006.0,1,5.0,0
2021,2,CUST0026,인천,패스트푸드,39,44.5,21818.0,4,3.608512733599395,1
2021,11,CUST0213,인천,패스트푸드,55,37.3,16948.0,4,2.0165629505018887,0
2022,5,CUST0180,인천,양식,28,26.8,21475.0,4,,0
2023,5,CUST0389,서울,중식,49,43.4,13197.0,0,4.981699864958794,0
2023,10,CUST0315,경기,중식,30,28.1,15312.0,3,3.8556798516928494,0
2021,7,CUST0078,대구,패스트푸드,69,32.1,15506.0,2,3.957272941296642,0
2021,11,CUST0270,대구,양식,67,24.4,21987.0,1,4.183897322564954,0
2022,6,CUST0498,부산,양식,24,10.0,20925.0,3,4.0083519849074385,0
2022,2,CUST0204,서울,분식,19,36.6,17156.0,2,3.7426173989030316,0
2022,11,CUST0190,인천,패스트푸드,22,36.6,17055.0,3,3.8697628040583902,0
2021,4,CUST0158,경기,일식,59,42.7,31976.0,1,4.148842871194169,0
2022,1,CUST0458,대구,한식,48,26.8,15073.0,1,5.0,0
2022,2,CUST0258,경기,한식,42,41.2,17835.0,2,4.497972246071862,0
2022,12,CUST0452,부산,양식,64,40.4,18304.0,3,4.367518025592111,0
2023,2,CUST0420,대구,일식,24,25.9,3000.0,3,3.952572512208746,0
2023,9,CUST0085,인천,분식,65,27.2,25206.0,1,3.336264309135898,0
2021,6,CUST0148,서울,분식,29,23.0,20822.0,3,4.948894068574609,0
2021,7,CUST0011,경기,분식,38,12.9,19531.0,3,4.169846510261909,0
2023,7,CUST0112,부산,한식,26,25.0,34311.0,1,3.1446979753598425,0
2023,2,CUST0469,부산,양식,48,43.8,25732.0,1,4.367154350241074,0
2021,10,CUST0202,인천,한식,20,34.3,10461.0,3,4.176541963300396,0
2021,4,CUST0337,부산,한식,26,30.3,19450.0,2,5.0,0
2023,1,CUST0358,경기,한식,24,19.2,7144.0,2,4.9502352476089415,0
2021,7,CUST0269,인천,일식,46,31.9,33312.0,1,4.385191169916956,0
2023,12,CUST0438,인천,양식,46,27.4,15550.0,4,4.710735403765256,0
2023,12,CUST0260,경기,중식,67,30.3,26998.0,1,4.636391274689341,0
2022,5,CUST0291,경기,중식,34,14.6,20863.0,2,4.10305054555619,0
2021,2,CUST0407,대구,중식,34,19.2,26718.0,1,4.296217085187739,0
2023,5,CUST0262,부산,중식,46,39.6,10201.0,2,4.76393848028502,0
2022,6,CUST0007,인천,한식,64,21.9,32768.0,4,4.355918575266581,0
2023,5,CUST0115,경기,한식,47,30.5,25772.0,1,5.0,0
2023,8,CUST0235,서울,중식,39,10.0,18340.0,4,4.569402085987535,0
2022,9,CUST0266,경기,패스트푸드,36,34.8,23377.0,2,4.101701640017293,0
2023,4,CUST0359,인천,분식,69,36.7,13644.0,1,4.378510879560216,0
2022,7,CUST0457,서울,양식,40,41.8,31308.0,5,3.856097548298436,0
2023,9,CUST0328,대구,패스트푸드,67,47.7,13535.0,2,3.7851310889943703,1
2023,5,CUST0386,대구,패스트푸드,32,19.8,13798.0,0,3.6498258274798214,0
2023,9,CUST0478,인천,패스트푸드,65,30.5,27792.0,5,4.34509047566023,0
2022,10,CUST0239,부산,분식,62,,24883.0,6,3.585386957411692,0
2023,4,CUST0415,인천,패스트푸드,46,14.2,7747.0,1,4.529542462552243,0
2023,8,CUST0459,경기,패스트푸드,61,43.6,16729.0,1,4.400954249160573,0
2021,9,CUST0468,인천,분식,20,20.7,36200.0,3,5.0,0
2022,10,CUST0474,부산,패스트푸드,60,28.0,7958.0,1,4.200900012939812,0
2021,8,CUST0462,인천,양식,20,,21938.0,4,3.78782636117503,0
2021,10,CUST0266,인천,양식,55,17.1,22202.0,5,4.069766042341601,0
2022,2,CUST0091,부산,일식,65,18.1,4942.0,2,5.0,0
2022,11,CUST0002,대구,일식,29,28.9,7037.0,0,4.41941620037722,0
2023,6,CUST0172,부산,분식,34,21.8,14900.0,2,4.16764841018994,0
2023,2,CUST0372,대구,일식,64,25.8,18432.0,3,4.2211546378263005,0
2023,7,CUST0316,부산,한식,53,32.5,25593.0,3,4.861961414191102,0
2023,7,CUST0396,경기,한식,44,27.4,3000.0,1,4.308607621771641,0
2022,4,CUST0091,서울,중식,53,31.0,16638.0,2,3.6774535520105482,0
2021,8,CUST0440,대구,분식,20,36.8,17975.0,2,4.209764430669926,0
2023,7,CUST0441,서울,한식,29,16.4,27949.0,2,3.164518143984826,0
2022,10,CUST0315,대구,분식,46,14.8,21303.0,3,4.095660434930186,0
2023,6,CUST0256,경기,분식,46,37.6,14543.0,2,4.494482826100834,0
2022,2,CUST0090,서울,양식,32,21.7,15010.0,0,3.7721183205751387,0
2021,5,CUST0346,경기,중식,39,21.6,25793.0,1,4.31514893829486,1
2022,11,CUST0274,경기,중식,30,13.5,3730.0,7,3.8391986935810185,0
2023,6,CUST0412,경기,일식,43,48.1,20206.0,1,4.718699490281836,0
2023,9,CUST0428,대구,일식,22,41.8,10799.0,3,3.408634863247619,0
2022,6,CUST0255,인천,중식,49,27.1,9435.0,1,5.0,0
2023,5,CUST0168,부산,일식,19,,19467.0,2,,0
2022,5,CUST0219,서울,한식,41,33.8,20087.0,1,4.973968628233164,0
2022,12,CUST0068,대구,중식,20,27.0,30620.0,4,3.1505759847373276,0
2021,8,CUST0230,부산,양식,63,35.7,24146.0,2,3.6078336652855416,0
2023,4,CUST0425,경기,패스트푸드,51,41.4,15616.0,0,4.257443901252189,0
2023,9,CUST0226,서울,패스트푸드,42,30.1,28441.0,0,3.977949805303273,0
2023,5,CUST0198,부산,일식,51,36.2,26568.0,2,4.184700887102998,0
2022,8,CUST0076,경기,중식,24,34.5,20770.0,2,4.421226089014771,0
2021,6,CUST0289,부산,한식,24,37.1,28909.0,0,4.077678582046178,1
2022,12,CUST0069,경기,일식,42,33.5,11615.0,2,4.555681474368866,0
2023,2,CUST0469,대구,양식,66,49.2,9928.0,5,,0
2023,6,CUST0415,서울,패스트푸드,63,25.3,27851.0,1,5.0,0
2023,7,CUST0236,경기,분식,61,21.3,26083.0,0,3.62486592866186,0
2023,1,CUST0157,인천,중식,59,29.6,7143.0,3,3.780896503276498,0
2023,10,CUST0191,인천,분식,59,18.2,14483.0,7,4.497819970310657,0
2021,3,CUST0099,부산,한식,21,40.4,21310.0,2,5.0,0
2022,10,CUST0350,대구,분식,60,25.3,22714.0,5,3.877218722215308,0
2021,10,CUST0182,서울,일식,29,22.6,21147.0,3,4.422717525166707,0
2021,6,CUST0029,경기,패스트푸드,43,32.0,10916.0,2,3.943838227445453,0
2023,5,CUST0176,인천,한식,34,30.3,26329.0,4,4.823676164596501,0
2023,2,CUST0278,인천,패스트푸드,52,25.5,20444.0,2,3.5503321371984264,0
2022,2,CUST0086,부산,패스트푸드,58,,17902.0,1,4.084382887875491,0
2021,5,CUST0257,서울,일식,26,29.1,23657.0,2,3.4915310972814115,0
2023,8,CUST0480,서울,양식,21,46.3,34938.0,1,2.9085664815631684,0
2022,12,CUST0379,인천,한식,52,31.6,18401.0,1,3.54974891320217,0
2023,12,CUST0341,부산,패스트푸드,27,30.3,11641.0,2,3.652012542112728,0
2022,9,CUST0314,경기,중식,38,31.4,21911.0,4,4.465968282616435,0
2021,5,CUST0013,대구,중식,63,33.6,9356.0,1,3.962670167317845,0
2022,3,CUST0121,서울,한식,31,28.0,13182.0,0,4.074873789270024,0
2022,9,CUST0235,부산,한식,37,29.1,18764.0,0,3.974402253493785,0
2023,9,CUST0163,인천,일식,42,17.3,25259.0,0,4.168923242306694,0
2023,2,CUST0179,서울,분식,28,31.5,26928.0,1,5.0,1
2023,5,CUST0461,서울,패스트푸드,26,34.3,17338.0,3,5.0,0
2021,1,CUST0222,대구,분식,33,22.4,8775.0,3,4.214811659064054,0
2021,11,CUST0055,서울,일식,38,23.6,19120.0,5,4.419398167083511,0
2023,11,CUST0034,인천,중식,32,16.2,27772.0,2,5.0,0
2021,5,CUST0444,서울,중식,62,49.5,11050.0,1,4.318997845208481,0
2022,6,CUST0298,인천,패스트푸드,64,18.9,16067.0,0,4.53122529936931,0
2023,12,CUST0156,경기,분식,55,18.7,14440.0,1,3.8541611115216647,0
2022,4,CUST0468,서울,분식,58,27.2,21616.0,0,3.848332275947077,0
2021,3,CUST0077,서울,분식,60,15.6,38589.0,4,4.674018483287442,0
2023,10,CUST0313,부산,일식,29,32.5,13034.0,2,5.0,0
2023,6,CUST0461,부산,양식,47,34.6,17281.0,1,5.0,0
2022,1,CUST0327,부산,분식,34,,3000.0,1,3.567744832139133,0
2023,5,CUST0467,대구,한식,24,17.8,3000.0,1,3.442154966652592,0
2021,7,CUST0131,대구,패스트푸드,53,31.0,29078.0,2,3.4551795815777115,0
2023,12,CUST0449,서울,일식,47,10.0,15662.0,4,4.151876591504419,0
2022,10,CUST0240,인천,패스트푸드,55,41.5,20754.0,1,3.999854434578288,0
2022,7,CUST0239,부산,양식,60,29.2,23202.0,3,3.9136011032551674,1
2022,12,CUST0246,경기,일식,42,,29409.0,0,5.0,0
2022,10,CUST0019,대구,한식,37,26.9,21849.0,0,3.2577702569757525,0
2023,12,CUST0285,대구,중식,56,18.8,17555.0,1,2.6944567507690413,0
2023,1,CUST0393,부산,한식,46,16.7,8601.0,2,3.5907072508562403,0
2022,3,CUST0365,부산,한식,44,29.6,12458.0,2,4.474314410251706,0
2023,1,CUST0263,서울,분식,52,17.6,10569.0,3,4.442821837655562,0
2022,1,CUST0441,부산,양식,53,24.7,26799.0,2,5.0,0
2022,4,CUST0373,부산,한식,68,20.4,19086.0,1,5.0,0
2022,2,CUST0069,서울,분식,24,34.0,23547.0,3,4.517951865740097,0
2021,2,CUST0476,서울,분식,20,23.6,27883.0,1,5.0,0
2023,11,CUST0059,부산,한식,38,21.5,20542.0,0,4.688483360493587,0
2021,5,CUST0341,서울,분식,57,29.2,7425.0,2,4.583860671109469,0
2021,6,CUST0328,인천,양식,24,27.1,20292.0,0,4.194239204665586,0
2022,10,CUST0323,인천,한식,54,31.6,16668.0,3,3.790508634153832,0
2022,11,CUST0144,부산,일식,62,40.1,24521.0,1,3.8623663269752555,0
2022,3,CUST0140,인천,패스트푸드,45,24.7,8217.0,1,4.508064713121227,0
2022,12,CUST0124,경기,패스트푸드,53,14.1,16510.0,2,,0
2023,12,CUST0142,경기,중식,68,23.8,9015.0,2,3.9079369004884144,0
2022,2,CUST0061,대구,한식,43,29.6,32999.0,1,5.0,0
2022,12,CUST0425,부산,패스트푸드,26,40.5,29147.0,5,4.8560129241184695,0
2023,5,CUST0217,부산,양식,22,30.9,3000.0,3,5.0,0
2021,5,CUST0232,인천,양식,33,23.4,21670.0,3,,0
2023,8,CUST0102,대구,한식,69,16.8,22408.0,3,3.8953399213570603,1
2022,3,CUST0086,경기,양식,67,13.6,27042.0,4,,0
2022,8,CUST0178,대구,패스트푸드,47,17.4,30871.0,4,4.447343038645293,0
2022,2,CUST0421,인천,일식,68,25.9,39759.0,4,3.111705571057449,0
2021,6,CUST0139,대구,분식,22,33.4,8660.0,3,3.5145360367122,0
2021,12,CUST0357,부산,중식,66,12.4,22019.0,0,4.705882619939949,0
2022,12,CUST0457,인천,한식,44,23.6,20682.0,2,4.676193393314127,0
2022,7,CUST0273,서울,양식,18,25.8,23174.0,0,2.941657154389466,0
2022,4,CUST0422,인천,일식,58,28.1,18260.0,0,3.5290908898525357,0
2021,4,CUST0472,부산,양식,26,37.9,27707.0,2,4.517195912802162,0
2022,4,CUST0060,부산,한식,53,27.6,20228.0,3,4.58791718630432,0
2022,5,CUST0267,대구,일식,26,34.5,23131.0,2,3.522431670901039,0
2021,11,CUST0442,경기,중식,68,10.0,7298.0,1,4.087168975056518,0
2021,7,CUST0439,경기,분식,44,41.0,24631.0,3,4.738243975645478,0
2022,11,CUST0119,부산,중식,32,26.1,19846.0,1,3.6671608559973805,0
2023,7,CUST0283,부산,중식,22,40.2,24053.0,3,4.682462429965135,0
2021,2,CUST0164,부산,한식,32,28.1,17189.0,1,3.432466645000801,1
2021,10,CUST0093,부산,중식,36,26.8,24906.0,3,3.7102507879068622,0
2021,9,CUST0176,부산,분식,37,21.8,31954.0,1,3.8795471119488827,0
2022,5,CUST0483,인천,패스트푸드,43,29.0,15058.0,3,5.0,0
2022,2,CUST0085,서울,한식,49,10.8,21425.0,1,4.913813629356411,1
2023,8,CUST0164,대구,한식,51,35.0,25498.0,5,3.18350950145794,0
2021,10,CUST0109,부산,패스트푸드,43,13.2,11525.0,1,3.6396459097536384,0
2021,11,CUST0026,부산,한식,22,49.4,23729.0,1,4.97900496186203,0
2023,3,CUST0251,대구,한식,21,47.0,29778.0,1,3.3930805189865154,0
2023,2,CUST0069,대구,양식,68,22.7,24070.0,1,4.660477185492013,0
2021,9,CUST0121,서울,일식,35,34.1,23030.0,4,4.157292000258418,0
2022,11,CUST0155,서울,한식,59,30.6,43615.0,3,4.304211993363526,0
2021,10,CUST0102,대구,분식,34,40.7,31681.0,1,,0
2021,8,CUST0393,부산,일식,66,14.6,21610.0,1,,0
2022,8,CUST0145,부산,패스트푸드,55,34.3,25563.0,0,4.134452285083087,0
2022,5,CUST0233,부산,중식,69,34.3,28115.0,0,4.296102065228047,0
2021,6,CUST0221,서울,분식,37,42.7,9163.0,0,4.047210557867753,0
2021,12,CUST0060,부산,중식,65,20.2,14469.0,2,5.0,0
2023,1,CUST0119,대구,패스트푸드,37,37.1,24242.0,3,4.696401062960496,0
2023,4,CUST0478,인천,중식,43,27.7,13506.0,0,5.0,0
2022,3,CUST0339,경기,한식,58,26.4,12026.0,1,4.086095102286548,0
2022,6,CUST0055,인천,양식,23,46.5,27041.0,1,3.3775961913654733,0
2021,5,CUST0216,서울,분식,56,26.9,20358.0,1,3.4139949599315846,0
2022,10,CUST0474,경기,중식,29,43.1,21542.0,1,3.9702043985598947,0
2023,11,CUST0463,경기,양식,31,34.5,32686.0,2,5.0,0
2022,1,CUST0060,서울,분식,18,31.0,15078.0,4,4.666538109554873,0
2022,10,CUST0309,경기,분식,37,28.6,5103.0,3,5.0,0
2021,3,CUST0499,인천,양식,50,21.5,3000.0,3,4.087484703477286,0
2021,7,CUST0434,부산,분식,36,18.9,36226.0,3,3.6862620942950812,0
2022,1,CUST0301,서울,일식,65,22.2,22926.0,1,4.320548368563633,0
2023,5,CUST0358,경기,패스트푸드,55,36.6,14914.0,0,4.791109027421699,0
2023,9,CUST0466,경기,일식,38,15.7,24047.0,0,4.58261062721863,0
2021,12,CUST0394,대구,중식,69,36.4,27029.0,1,4.134380646055806,0
2022,2,CUST0113,부산,한식,44,17.0,12625.0,1,4.547281924666464,0
2023,10,CUST0211,인천,분식,62,25.5,13735.0,3,3.2926018886237047,0
2021,1,CUST0160,부산,패스트푸드,26,46.4,17558.0,1,4.877780413682636,0
2023,7,CUST0009,부산,한식,53,10.0,21892.0,1,3.9458251030221145,0
2021,2,CUST0133,서울,양식,38,36.7,22819.0,3,2.9210960616574746,0
2022,9,CUST0482,경기,한식,19,19.1,17582.0,2,4.571042578224416,0
2023,8,CUST0260,부산,일식,23,23.9,19228.0,2,3.0529066304944585,1
2022,4,CUST0478,서울,일식,42,21.7,13045.0,3,2.3511685423981437,0
2023,5,CUST0275,대구,양식,48,29.7,8672.0,2,5.0,0
2022,3,CUST0011,경기,양식,38,31.1,14663.0,2,4.470696794965705,0
2023,6,CUST0207,대구,양식,18,23.6,5282.0,2,5.0,0
2023,11,CUST0372,인천,양식,68,29.8,6104.0,1,4.422027861638133,0
2021,11,CUST0460,서울,양식,67,34.8,26094.0,1,4.663489354374491,0
2021,9,CUST0208,부산,중식,23,31.0,16776.0,3,3.975832812952935,1
2023,10,CUST0068,경기,한식,38,24.3,19766.0,0,3.2748740883882053,0
2022,1,CUST0198,대구,패스트푸드,67,37.8,26853.0,1,4.208841992262064,0
2022,1,CUST0498,부산,중식,31,39.0,18266.0,1,3.1503449329856874,0
2022,7,CUST0316,서울,일식,54,27.1,25471.0,3,5.0,0
2023,11,CUST0420,인천,일식,60,33.3,17512.0,3,4.770402507094394,0
2022,2,CUST0170,서울,양식,20,38.6,18694.0,0,,0
2022,7,CUST0151,부산,중식,21,30.1,19918.0,4,3.8749121762555343,1
2023,4,CUST0430,대구,패스트푸드,56,26.1,21893.0,4,5.0,0
2023,5,CUST0316,부산,분식,57,36.9,19421.0,2,5.0,0
2022,5,CUST0002,경기,분식,44,24.2,17900.0,0,4.687155638924012,1
2021,8,CUST0227,부산,양식,24,16.3,20275.0,3,4.091081377479196,0
2022,2,CUST0085,서울,한식,59,41.3,28994.0,0,3.6091121552933085,0
2021,3,CUST0008,인천,한식,31,25.5,21088.0,1,5.0,0
2021,2,CUST0103,대구,분식,65,21.6,20889.0,2,3.9212435933452463,0
2021,2,CUST0017,서울,한식,48,46.1,3000.0,1,2.4575295256230256,0
2022,9,CUST0295,부산,양식,62,17.0,14721.0,4,3.7573517040880926,0
2022,1,CUST0358,대구,분식,42,38.9,14949.0,4,3.64479056953827,0
2021,2,CUST0008,서울,중식,28,40.2,31595.0,2,3.504776428670162,0
2021,4,CUST0078,서울,분식,27,34.0,24918.0,3,4.020318247953115,1
2021,8,CUST0170,경기,패스트푸드,57,41.6,21730.0,0,,0
2023,5,CUST0084,인천,분식,39,33.7,23450.0,2,2.96307333797455,0
2023,8,CUST0203,인천,중식,50,35.4,29241.0,2,3.307642512680566,0
2022,1,CUST0255,부산,일식,36,10.0,18595.0,2,4.892105315263346,0
2021,5,CUST0413,부산,일식,35,42.8,20898.0,2,5.0,0
2021,11,CUST0190,인천,한식,24,36.8,17767.0,2,4.2140029092742575,0
2023,2,CUST0200,대구,중식,59,33.3,20658.0,2,4.414868582172479,0
2022,7,CUST0024,서울,분식,56,24.4,12468.0,1,,0
2021,4,CUST0165,인천,한식,40,15.1,17859.0,0,3.8232278656642715,0
2023,7,CUST0485,인천,일식,35,16.8,3000.0,4,4.563363980634042,0
2021,3,CUST0498,경기,패스트푸드,60,32.2,13624.0,1,3.2252408433714947,0
2022,11,CUST0040,대구,패스트푸드,57,19.8,7649.0,1,3.156264350648999,0
2022,11,CUST0393,부산,중식,46,41.0,26450.0,3,3.942994564424179,0
2022,11,CUST0288,경기,패스트푸드,32,25.8,22497.0,3,3.545126329386056,0
2022,7,CUST0284,경기,양식,39,19.9,23827.0,5,4.994632683598983,0
2022,11,CUST0254,부산,일식,35,25.9,16180.0,3,4.244823128610755,0
2022,1,CUST0488,대구,한식,36,15.8,23959.0,3,4.367918909888982,0
2022,12,CUST0317,대구,중식,64,22.2,12458.0,3,4.889521087515607,0
2021,3,CUST0027,서울,양식,42,36.4,33429.0,2,4.747769091355933,0
2022,12,CUST0073,대구,일식,60,22.7,20930.0,1,3.9182502563238883,0
2023,12,CUST0194,대구,한식,22,10.0,26314.0,2,5.0,0
2022,2,CUST0393,경기,패스트푸드,69,33.1,28925.0,1,3.683802279084035,0
2022,1,CUST0368,서울,일식,18,22.7,14512.0,1,,0
2023,3,CUST0005,경기,한식,29,21.0,29332.0,3,5.0,0
2021,9,CUST0097,경기,패스트푸드,57,33.4,20645.0,0,5.0,0
2022,1,CUST0219,서울,패스트푸드,22,36.4,10118.0,2,5.0,0
2023,8,CUST0138,서울,패스트푸드,53,29.6,25122.0,1,4.127912417022686,0
2021,5,CUST0090,경기,중식,48,,31836.0,2,4.193347617826159,1
2023,7,CUST0473,부산,양식,38,29.2,19910.0,2,4.662225722451296,0
2021,12,CUST0015,인천,일식,44,25.7,22377.0,1,4.203477690496007,0
2022,1,CUST0035,경기,중식,69,28.9,19049.0,0,3.967209538013246,0
2021,11,CUST0490,경기,분식,66,32.4,24216.0,1,3.9173238389645726,0
2022,10,CUST0400,부산,한식,32,34.0,27290.0,1,5.0,0
2023,5,CUST0174,부산,양식,52,32.8,23391.0,3,3.8962943787688973,0
2022,9,CUST0389,대구,패스트푸드,57,21.3,39043.0,2,5.0,1
2023,1,CUST0387,대구,일식,51,22.1,21880.0,0,3.5410484688680817,0
2023,2,CUST0295,대구,패스트푸드,57,37.9,19728.0,3,5.0,0
2023,7,CUST0097,서울,한식,56,40.0,16348.0,4,3.959419853690125,0
2021,6,CUST0198,경기,패스트푸드,59,19.0,29553.0,1,4.869604520515861,0
2022,6,CUST0472,대구,패스트푸드,63,28.7,17656.0,2,4.041073715691618,0
2023,1,CUST0428,서울,일식,47,32.8,18485.0,1,5.0,0
2022,9,CUST0452,대구,분식,36,27.1,15394.0,1,4.133451355292243,0
2021,7,CUST0121,인천,분식,66,16.6,9861.0,3,4.059840160020056,0
2022,1,CUST0124,인천,일식,64,25.9,25717.0,0,3.489311146569774,0
2022,8,CUST0170,경기,한식,43,26.5,24553.0,4,2.5944188368371153,0
2022,8,CUST0038,경기,양식,33,27.3,15125.0,2,4.286440242833461,0
2021,12,CUST0232,인천,패스트푸드,50,33.6,25836.0,2,4.654939054691309,0
2023,8,CUST0476,대구,양식,27,13.8,19732.0,1,3.921635134400012,0
2023,11,CUST0111,경기,패스트푸드,29,26.1,28319.0,2,4.510306821761293,0
2023,12,CUST0043,경기,양식,24,32.5,15769.0,3,3.71514615491148,0
2023,9,CUST0447,인천,양식,51,10.4,27075.0,3,,0
2023,5,CUST0022,경기,한식,23,43.4,8792.0,1,,0
2022,11,CUST0408,인천,양식,63,28.8,12913.0,1,3.6511767628751697,0
2023,9,CUST0127,경기,일식,66,34.7,18840.0,0,4.714217950481664,0
2023,5,CUST0052,인천,일식,24,28.6,19816.0,1,4.037664613437116,0
2022,7,CUST0063,서울,패스트푸드,52,34.4,17813.0,1,,0
2022,10,CUST0139,경기,일식,31,31.4,15826.0,3,4.590170253898932,0
2022,6,CUST0121,인천,일식,55,36.2,23211.0,1,4.819753819738399,0
2023,5,CUST0211,부산,한식,22,46.1,23646.0,2,4.2415625618206905,0
2022,2,CUST0032,인천,일식,28,15.8,19049.0,4,5.0,0
2022,10,CUST0124,서울,패스트푸드,50,28.5,16860.0,0,4.418857335589218,0
2023,11,CUST0322,대구,분식,30,27.3,20224.0,0,3.3569999382956066,0
2022,6,CUST0350,경기,중식,59,28.1,23065.0,6,2.927006647817074,1
2022,6,CUST0355,인천,양식,53,35.4,35578.0,2,2.7181550988192154,0
2022,9,CUST0334,인천,분식,26,25.4,8952.0,4,5.0,0
2021,2,CUST0108,인천,패스트푸드,47,33.6,21706.0,2,3.9554460938381895,0
2021,7,CUST0430,대구,패스트푸드,31,41.0,11455.0,2,3.6972723919982085,0
2021,11,CUST0024,부산,패스트푸드,55,38.8,12658.0,2,4.330961677866455,0
2021,4,CUST0283,경기,양식,51,33.5,32129.0,1,3.335151930168634,0
2023,8,CUST0029,인천,중식,66,18.4,16321.0,3,4.9726360937457725,0
2022,3,CUST0050,서울,일식,40,28.1,28094.0,0,4.059284349850798,0
2021,9,CUST0494,인천,중식,52,19.3,21861.0,2,4.531908729402211,0
2022,4,CUST0330,서울,일식,52,,20428.0,5,4.399069159612769,1
2022,9,CUST0223,대구,패스트푸드,37,34.7,16675.0,2,5.0,0
2022,3,CUST0208,부산,양식,31,40.8,25487.0,1,4.474264612033705,0
2023,6,CUST0428,대구,한식,57,33.0,34895.0,1,5.0,0
2023,5,CUST0195,인천,중식,68,,25011.0,1,3.9724963214768807,0
2021,11,CUST0121,인천,한식,49,42.0,8421.0,4,4.09191663581052,0
2022,12,CUST0102,부산,한식,61,33.9,14607.0,1,4.440704452901944,0
2022,6,CUST0412,서울,일식,36,31.7,19668.0,2,4.59083298160114,0
2023,4,CUST0076,서울,한식,47,29.9,21478.0,4,3.3975879629164325,0
2022,7,CUST0047,부산,패스트푸드,56,53.2,14136.0,2,4.29408069039887,0
2023,8,CUST0472,경기,패스트푸드,27,40.8,26055.0,3,3.3438318848084596,0
2021,12,CUST0046,서울,한식,28,21.7,20930.0,1,4.201983549999224,0
2022,8,CUST0385,대구,한식,54,51.9,16940.0,1,3.4288232811107338,0
2021,2,CUST0406,부산,한식,49,13.7,27772.0,2,4.639086325335867,1
2022,9,CUST0134,서울,일식,56,39.2,21841.0,1,4.206694616165125,0
2022,1,CUST0298,서울,일식,35,13.2,15561.0,0,4.840382970213687,0
2023,11,CUST0260,경기,패스트푸드,36,19.5,14219.0,0,4.176703424740175,0
2021,11,CUST0121,인천,분식,66,49.9,17754.0,2,4.144680633326055,1
2022,10,CUST0007,인천,중식,20,36.3,20604.0,3,4.398831979460672,0
2023,4,CUST0259,인천,패스트푸드,18,22.4,27175.0,2,3.783976854972668,0
2021,9,CUST0080,서울,양식,46,26.1,10993.0,1,3.664107708080794,0
2022,1,CUST0126,대구,양식,61,14.2,24552.0,2,5.0,0
2023,6,CUST0170,대구,패스트푸드,45,26.5,3000.0,0,4.082787596077554,0
2021,6,CUST0100,경기,분식,31,17.1,11356.0,2,3.4791953495666186,0
2021,4,CUST0126,서울,양식,41,32.4,13948.0,2,4.45199648890361,0
2023,9,CUST0158,대구,패스트푸드,31,20.9,28466.0,2,3.1263940401770123,0
2023,5,CUST0189,부산,중식,32,39.1,5778.0,4,4.373190676243922,0
2021,3,CUST0295,인천,중식,25,42.1,33865.0,4,3.9697281765728016,0
2022,2,CUST0388,부산,일식,47,31.6,26805.0,2,3.410727846578985,0
2021,7,CUST0373,서울,양식,32,27.5,16366.0,5,4.500767508958601,0
2023,2,CUST0113,경기,패스트푸드,67,33.8,18078.0,1,3.707371192224339,0
2023,8,CUST0313,부산,패스트푸드,50,34.1,27596.0,1,3.8751056534798116,0
2023,12,CUST0266,경기,패스트푸드,61,40.9,21209.0,0,4.751372207183971,0
2021,6,CUST0378,부산,양식,56,21.0,21315.0,0,3.4535362408251813,0
2023,3,CUST0131,대구,중식,27,55.6,28636.0,0,3.9901139253605935,0
2021,12,CUST0447,인천,중식,47,38.0,25378.0,2,4.528739758793194,0
2021,12,CUST0465,서울,일식,59,36.0,15764.0,1,3.9294031211410245,0
2021,4,CUST0248,서울,패스트푸드,43,30.1,10361.0,1,3.9420515886771867,0
2022,4,CUST0237,경기,한식,62,44.5,17608.0,1,3.85005731702955,0
2022,8,CUST0084,경기,일식,21,36.4,3000.0,4,3.2574420679959735,0
2022,1,CUST0388,대구,패스트푸드,29,31.2,8724.0,5,3.2820617150546822,0
2022,7,CUST0161,대구,패스트푸드,42,30.3,12270.0,1,4.277003659315974,0
2021,1,CUST0299,경기,분식,55,27.9,12694.0,1,4.337238657861691,0
2021,5,CUST0341,부산,중식,20,23.3,27667.0,7,3.885438967265248,0
2021,3,CUST0171,서울,중식,49,17.7,18970.0,1,3.953703471279322,0
2023,1,CUST0254,경기,패스트푸드,50,29.7,30603.0,3,4.310454287724759,0
2023,10,CUST0472,경기,중식,27,24.5,30737.0,1,4.681735810863511,1
2021,1,CUST0259,서울,패스트푸드,19,39.2,9721.0,1,3.9770802032582457,0
2022,2,CUST0082,부산,일식,52,18.9,7502.0,0,4.295069154964852,0
2022,8,CUST0482,경기,양식,48,11.3,9961.0,3,3.868125808030188,0
2022,6,CUST0492,인천,일식,26,30.3,17002.0,0,4.354938965224425,0
2023,8,CUST0096,대구,패스트푸드,27,23.1,12436.0,2,5.0,0
2023,10,CUST0052,경기,일식,53,,15949.0,6,4.231762974167836,0
2022,4,CUST0319,인천,양식,63,26.7,29618.0,1,4.094472962507771,0
2023,8,CUST0220,서울,패스트푸드,39,37.6,7207.0,1,4.285613038783083,0
2021,6,CUST0211,인천,한식,31,33.1,12624.0,2,3.4233870930298855,0
